Media,Result,URL,Success or Failure
Creep 2,Creep 2,https://www.netflix.com/watch/80168161?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Devilman Crybaby,Devilman Crybaby,https://www.netflix.com/watch/80174974?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Mario Kart,Angry Birds,https://www.netflix.com/watch/80138030?tctx=0%2C0%2C%2C%2C,Failed
Sonic Boom,Sonic Boom,https://www.netflix.com/watch/80155771?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Sonic Boom,Sonic Boom,https://www.netflix.com/watch/80155771?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Sonic,Sonic Boom,https://www.netflix.com/watch/80155771?tctx=0%2C0%2C%2C%2C,Failed
Central,Ride Along 2,https://www.netflix.com/watch/80067830?tctx=0%2C0%2C%2C%2C,Failed
Chefs Table,Chefs Table,https://www.netflix.com/watch/80007945?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Sonic Boom,Sonic Boom,https://www.netflix.com/watch/80155771?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Lil Peep,13 Reasons Why,https://www.netflix.com/watch/80117470?tctx=0%2C0%2C%2C%2C,Failed
Creep,Creep,https://www.netflix.com/watch/70306646?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Agents Of S.h.i.e.l.d,Marvels Daredevil,https://www.netflix.com/watch/80018294?tctx=0%2C0%2C%2C%2C,Failed
Marvels Daredevil,Marvels Daredevil,https://www.netflix.com/watch/80018294?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Marvels Daredevil,Marvels Daredevil,https://www.netflix.com/watch/80018294?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Marvels Jessica Jones,Marvels Jessica Jones,https://www.netflix.com/watch/80002311?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Devilman Crybaby,Devilman Crybaby,https://www.netflix.com/watch/80174974?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Marvels Jessica Jones,Marvels Jessica Jones,https://www.netflix.com/watch/80002311?tctx=0%2C0%2C%2C%2C,Sucessfully Found
13 Reasons Why,13 Reasons Why,https://www.netflix.com/watch/80117470?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Riverdale,Riverdale,https://www.netflix.com/watch/80133311?tctx=0%2C0%2C%2C%2C,Sucessfully Found
13 Reasons Why,13 Reasons Why,https://www.netflix.com/watch/80117470?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Sonic Boom,Sonic Boom,https://www.netflix.com/watch/80155771?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Marvels Daredevil,Marvels Daredevil,https://www.netflix.com/watch/80018294?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Riverdale,Riverdale,https://www.netflix.com/watch/80133311?tctx=0%2C0%2C%2C%2C,Sucessfully Found
American Supernatural,American Supernatural,https://www.netflix.com/watch/80115885?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Riverdale,Riverdale,https://www.netflix.com/watch/80133311?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Pac Man The Ghostly Adventures,Pac-man And The Ghostly Adventures,https://www.netflix.com/watch/80000139?tctx=0%2C0%2C%2C%2C,Failed
Badlands Texas,Badlands Texas,https://www.netflix.com/watch/80158861?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Hellboy,Hellboy,https://www.netflix.com/watch/60034549?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Badlands Texas,Badlands Texas,https://www.netflix.com/watch/80158861?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Hellboy,Hellboy,https://www.netflix.com/watch/60034549?tctx=0%2C0%2C%2C%2C,Sucessfully Found
Hellboy,Hellboy,https://www.netflix.com/watch/60034549?tctx=0%2C0%2C%2C%2C,Sucessfully Found
